book_id,location.city,location.country,location.world,mood,period.century,period.era,period.historical_event_context,source
33790495,,United States,mixed,"tense, foreboding",21st,contemporary,,mistral-large-latest
8637074,,,mixed,"tense, hopeful",,,,mistral-large-latest
21920701,,,real,"encouraging, cautionary",,,,mistral-large-latest
21920705,,,real,"encouraging, practical",,,,mistral-large-latest
9954236,Las Vegas,United States,real,"suspenseful, dangerous, passionate",21st,contemporary,,mistral-large-latest
24244216,"San Francisco, Galveston","United States, Mexico",mixed,"adventurous, melancholic","19th, 21st","Victorian, modern",Galveston Hurricane of 1900,mistral-large-latest
7737155,,"India, United States",real,"exciting, nostalgic, wondering",19th,Victorian,British colonial rule in India,mistral-large-latest
250814,,,real,"contemplative, intellectual",20th,contemporary,,mistral-large-latest
250815,Northern New Mexico,United States,real,"intellectual, contemplative",,contemporary,,mistral-large-latest
250812,,,real,thought-provoking,,,,mistral-large-latest
250813,,,real,"satirical, chaotic, reflective",20th,contemporary,,mistral-large-latest
250810,Dayton,United States,real,"uneasy, hostile",20th,Jazz Age,Scopes Monkey Trial,mistral-large-latest
7244082,,England,real,"mysterious, romantic, tense",19th,Regency,,mistral-large-latest
26267664,,,real,"reverent, somber",,"early Christianity, Reformation, modern","persecution of Christians, Anabaptist tradition, Boko Haram insurgency",mistral-large-latest
6094929,,United States,fictional,"tense, romantic",20th,modern,,mistral-large-latest
12854374,,,real,"tense, awkward",,,,mistral-large-latest
17277798,,,fictional,"tense, dramatic",,contemporary,,mistral-large-latest
17277799,New York,United States,mixed,"tense, adventurous",,modern,,mistral-large-latest
8967548,,United States,real,"tense, eerie, passionate",21st,contemporary,,mistral-large-latest
17277794,,,real,"urgent, foreboding",20th,,Cold War,mistral-large-latest
17277795,New York City,United States,real,"tense, exciting",21st,contemporary,,mistral-large-latest
17277796,,,real,"tense, desperate",21st,contemporary,,mistral-large-latest
17277797,London,United Kingdom,mixed,"tense, ominous",,,,mistral-large-latest
17277790,,,fictional,"tense, violent",,,,mistral-large-latest
17277791,,,fictional,"tense, urgent",,,,mistral-large-latest
17277792,,,fictional,"adventurous, cosmic",,,,mistral-large-latest
17277793,,,fictional,"tense, urgent",,,,mistral-large-latest
300043,,Scotland,real,"tense, sensual",18th,Georgian,clan conflicts,mistral-large-latest
300041,,"England, France, Scotland, Germany, Italy, Spain",real,"somber, tense",14th,Medieval,Hundred Years War,mistral-large-latest
27443717,Baltimore,United States,real,"tense, hopeful",21st,contemporary,,mistral-large-latest
300046,,,real,"tense, emotional",,,,mistral-large-latest
300045,,,fictional,"dangerous, unsettling",,,fight for racial equality,mistral-large-latest
300044,,,fictional,"tense, emotional",,,,mistral-large-latest
875709,,,real,"tense, bewildering",,,,mistral-large-latest
925856,,,real,"tense, nostalgic",,,,mistral-large-latest
300048,,,real,tense,,,,mistral-large-latest
39307,Philadelphia,United States,mixed,"tense, urgent, passionate",,contemporary with supernatural elements,,mistral-large-latest
7977061,Brasilia,Brazil,real,"suspenseful, grim",21st,,,mistral-large-latest
16079539,,,real,intriguing,,contemporary,,mistral-large-latest
31498622,New York,United States,real,"tense, suspenseful",20th,late 20th century,,mistral-large-latest
18280964,,,real,"uplifting, tense, lighthearted",,,,mistral-large-latest
15199846,Brighton,England,real,"melancholic, adventurous",,contemporary,,mistral-large-latest
12403255,,Australia,real,"lighthearted, warm",,contemporary,,mistral-large-latest
12403252,,,real,"tense, arousing",,,,mistral-large-latest
23514936,,"Russia, United States",real,"tense, adventurous",20th,modern,Tunguska Event,mistral-large-latest
15800031,,United States,real,"reflective, intense",19th,Civil War era,"American Civil War, Republican National Convention (1860)",mistral-large-latest
24311587,,,real,,21st,,,mistral-large-latest
15800037,"Washington, D.C.",United States,real,"reflective, inspirational",20th,World War II,World War II,mistral-large-latest
24311583,,,mixed,"lighthearted, absurd",,contemporary,biblical flood,mistral-large-latest
11739267,,United States,real,"nostalgic, hopeful",20th,Jazz Age,"post-slavery, Gullah cultural preservation",mistral-large-latest
11739266,,,real,"melancholic, intense",20th,,,mistral-large-latest
15800039,,United States,real,"intense, glamorous, competitive",20th,,rise of radio and television broadcasting,mistral-large-latest
51923,,United States,real,"amusing, reflective",20th,,"Depression, technology, Internet",mistral-large-latest
2460983,"Washington, D.C.",United States,real,"suspenseful, shocking",20th,modern,Cold War era (implied),mistral-large-latest
23514939,,,real,"tense, urgent",,,,mistral-large-latest
8528728,,United States,real,"outraged, mournful, hopeful",20th,Cold War,"Manhattan Project, uranium mining, environmental neglect",mistral-large-latest
30012749,,China,real,"nostalgic, melancholic",,,,mistral-large-latest
17207467,Capodistria,Italy,real,,16th,Renaissance,Protestant Reformation,mistral-large-latest
2682340,,France,real,informative,,early modern,Holy Roman Empire conflict,mistral-large-latest
36124764,,,real,"melancholic, hopeful",,,,mistral-large-latest
8528722,Halifax,Canada,real,"haunting, tense, poignant",20th,World War II,German U-boat attacks in the North Atlantic,mistral-large-latest
8528721,,,real,"reflective, wistful",20th,post-war,war,mistral-large-latest
17605295,Honey Creek,United States,real,"tense, hopeful",21st,contemporary,,mistral-large-latest
8528727,,United States,real,"somber, urgent",20th,Cold War,Manhattan Project,mistral-large-latest
10765549,New York City,United States,real,"cozy, reflective",,contemporary,,mistral-large-latest
27918777,,Chile,real,"intense, reflective",19th,Victorian,,mistral-large-latest
32024656,,United States,real,"melancholic, warm",21st,contemporary,Civil War,mistral-large-latest
2519715,,,mixed,"anticipatory, tense",,futuristic,interstellar exploration,mistral-large-latest
2519716,,,mixed,"baffled, intrigued",,,,mistral-large-latest
22928626,,United Kingdom,real,admiring,20th,modern,,mistral-large-latest
24717704,Medford,,fictional,"tense, suspenseful",,fantasy medieval,,mistral-large-latest
13412289,,Australia,real,"despair, resignation",20th,Cold War,post-nuclear apocalypse,mistral-large-latest
8894076,,,real,"hopeful, challenging",,,,mistral-large-latest
11658191,,,real,,,,,mistral-large-latest
17859771,,,mixed,"intriguing, conversational",,,,mistral-large-latest
19302431,,United States,real,"tense, passionate",21st,contemporary,,mistral-large-latest
19302433,,,real,"tense, romantic",,,,mistral-large-latest
19302435,,United States,real,"uneasy, paranoid",,contemporary,,mistral-large-latest
19302436,Leavenworth,United States,real,"tense, nostalgic",,contemporary,,mistral-large-latest
19302437,,United States,real,"suspenseful, emotional",,contemporary,,mistral-large-latest
15246601,Bournemouth,England,real,"gripping, tense",19th,Victorian,,mistral-large-latest
20327470,,,fictional,"tense, hopeful",,fantasy medieval,,mistral-large-latest
8538159,,United States,real,"hopeful, tense",,contemporary,,mistral-large-latest
6681994,,,real,"thought-provoking, sobering",,,,mistral-large-latest
1293216,,France,real,"suspenseful, intriguing",21st,contemporary,,mistral-large-latest
11868716,Yeovil,United Kingdom,real,"inspirational, dramatic",20th,Thatcherite era,"economic recovery post-recession, working-class empowerment",mistral-large-latest
15721836,Jackrabbit Junction,United States,real,"tense, lighthearted",,contemporary,,mistral-large-latest
15721835,Tokyo,Japan,mixed,"suspenseful, surreal",20th,,,mistral-large-latest
12499156,,,real,"inspiring, motivational",,,,mistral-large-latest
8077005,,,real,"introspective, provocative",,,,mistral-large-latest
2903907,,,real,"serious, urgent",,contemporary,,mistral-large-latest
1032525,,United States,real,"suspenseful, bleak",20th,contemporary,,mistral-large-latest
1032527,,,real,,,,,mistral-large-latest
7487545,Satucket,United States,real,"tense, melancholic",18th,colonial,whaling industry,mistral-large-latest
27283812,Rio de Janeiro,Brazil,real,exhilarating,21st,contemporary,,mistral-large-latest
22925595,,,real,thought-provoking,,,,mistral-large-latest
10032538,Pontisbright,United Kingdom,real,"suspenseful, tense",20th,post-WWII,,mistral-large-latest
27283816,London,United Kingdom,mixed,"suspenseful, whimsical",19th,Victorian,,mistral-large-latest
13594588,,,real,lighthearted,,contemporary,,mistral-large-latest
1764101,Washington D.C.,United States,real,"dark, paranoid, high-stakes",21st,contemporary,post-9/11,mistral-large-latest
36303471,Sonoma,United States,real,"tense, seductive",,contemporary,,mistral-large-latest
35128255,,,real,"melancholic, thoughtful",,,,mistral-large-latest
1262532,,United Kingdom,mixed,"tense, whimsical, eerie",19th,Victorian,,mistral-large-latest
22363927,,,fictional,"claustrophobic, paranoid",,post-apocalyptic,,mistral-large-latest
1262537,Boone Creek,United States,real,"melancholic, hopeful",,contemporary,,mistral-large-latest
19300111,Brussels,Belgium,real,"chaotic, urgent",20th,pre-World War II,"Danzig crisis, Nazi Germany-Poland tensions",mistral-large-latest
11881251,,United Kingdom,real,"whimsical, nostalgic",19th,Victorian,Trafalgar Day,mistral-large-latest
13214156,London,United Kingdom,real,suspenseful,21st,contemporary,,mistral-large-latest
2286312,,,real,,,,,mistral-large-latest
23885618,,,real,"uplifting, suspenseful",,,,mistral-large-latest
288184,,,real,"melancholic, hedonistic",,contemporary,,mistral-large-latest
288188,,England,real,"tense, passionate",19th,Regency,,mistral-large-latest
25415936,,,real,"melancholic, hopeful",,,,mistral-large-latest
4314054,,United Kingdom,real,"tense, hopeful",19th,Victorian,,mistral-large-latest
25415930,,,real,"suspenseful, paranoid",,contemporary,,mistral-large-latest
31348925,,,real,"tense, romantic",,contemporary,,mistral-large-latest
25889602,,France,real,"anxious, defiant",20th,World War I,World War I,mistral-large-latest
29414798,Moscow,Russia,real,"hopeful, melancholic",21st,,,mistral-large-latest
34752020,,,real,"longing, hopeful, tense",21st,contemporary,,mistral-large-latest
35514817,,,fictional,"foreboding, hopeful",,futuristic,,mistral-large-latest
28456497,,United Kingdom,real,"eerie, suspenseful",20th,Interwar period,,mistral-large-latest
18627243,,,real,"melancholic, uplifting",21st,contemporary,,mistral-large-latest
25587892,,,real,"claustrophobic, paranoid",,contemporary,,mistral-large-latest
7958452,Tenochtitlan,Mexico,real,"awe-inspiring, tense",15th,pre-Columbian,Aztec Empire expansion,mistral-large-latest
7958457,,,mixed,"tense, romantic",,,,mistral-large-latest
7958456,,,mixed,"suspenseful, romantic",,,,mistral-large-latest
8971686,,Germany,real,"somber, reflective",20th,post-World War II,"World War II, post-war Germany",mistral-large-latest
25204099,,,real,"suspenseful, chilling",,,,mistral-large-latest
16156231,Mangaung,South Africa,real,"tense, revelatory",21st,contemporary,"Jacob Zuma's presidency, ANC elective conferences",mistral-large-latest
263039,Mos Espa,,fictional,"wonder, curiosity",,prequel era,Galactic Republic,mistral-large-latest
25204092,,United States,real,"whimsical, melancholic, tense",21st,contemporary,,mistral-large-latest
263032,,,fictional,"tense, hopeful",,fantasy/sci-fi,,mistral-large-latest
263033,,,fictional,"exciting, nostalgic",,fantasy sci-fi era,,mistral-large-latest
263030,,,fictional,"dangerous, suspenseful",,sci-fi/fantasy,,mistral-large-latest
34632203,,,real,"informative, professional",,contemporary,,mistral-large-latest
20666669,,,mixed,"fearful, uneasy, chilling",,,,mistral-large-latest
28111262,,United Kingdom,real,"hopeful, nostalgic",,contemporary,,mistral-large-latest
26144671,,,real,"lighthearted, engaging",,contemporary,,mistral-large-latest
26144675,,Finland,real,"suspenseful, unsettling",21st,contemporary,,mistral-large-latest
828184,,Russia,mixed,"tense, ominous",,prehistoric,,mistral-large-latest
17191113,London,United Kingdom,real,"suspenseful, chilling",21st,modern,Jack the Ripper lore,mistral-large-latest
36451826,Buenos Aires,Argentina,real,"uneasy, oppressive, electrifying",21st,contemporary,,mistral-large-latest
79728,New Hope,United States,real,"mysterious, urgent",,contemporary,,mistral-large-latest
79729,,,real,"suspenseful, melancholic",,contemporary,,mistral-large-latest
17191115,,,real,"suspenseful, romantic",,contemporary,,mistral-large-latest
16129108,,Canada,real,lighthearted,,historical,,mistral-large-latest
29477627,,United States,real,"hopeful, urgent",21st,contemporary,election year,mistral-large-latest
17787564,,United Kingdom,real,"desperate, hopeless",21st,contemporary,pandemic,mistral-large-latest
18622540,,,real,"lighthearted, poignant",,contemporary,,mistral-large-latest
35105330,,,real,"uneasy, paranoid, disturbing",,contemporary,,mistral-large-latest
18622542,,,fictional,"tense, melancholic",,fantasy,,mistral-large-latest
15892309,,,real,"engaging, entertaining",,ancient to modern,election history from Athens (500 BC) to 2012,mistral-large-latest
12654978,,Germany,real,"tense, suspenseful",21st,contemporary,,mistral-large-latest
16192288,New York,United States,mixed,"tense, desperate",,,,mistral-large-latest
7827846,Granada,Spain,real,"nostalgic, wondering",19th,Romantic era,post-Napoleonic Europe,mistral-large-latest
750455,,,real,"hopeful, reflective",,,,mistral-large-latest
31867408,Stockholm,Sweden,real,"intriguing, revelatory",21st,contemporary,,mistral-large-latest
750456,,,real,"melancholic, hopeful",,contemporary,,mistral-large-latest
8625923,,,real,lighthearted,,,,mistral-large-latest
10652014,,,fictional,,,,,mistral-large-latest
8625920,,,real,"cozy, romantic, joyful",,contemporary,,mistral-large-latest
26541080,,,real,"tense, intense",,contemporary,,mistral-large-latest
8573882,,United States,real,"inspirational, reflective",18th-19th,Early American Republic,"American Revolution, Founding Fathers, War of 1812, Monroe Doctrine",mistral-large-latest
20733559,Hareshaw,England,real,"suspenseful, foreboding",19th,Regency,,mistral-large-latest
20058869,,,mixed,"tense, intriguing",,,,mistral-large-latest
2301404,,,real,"informative, thought-provoking",,,,mistral-large-latest
13410635,,Scotland,real,"intense, melancholic",19th,Regency,,mistral-large-latest
16117516,,,real,,,,,mistral-large-latest
25580382,,,mixed,"exciting, ominous",,modern,,mistral-large-latest
25920117,Berlin,Germany,real,"dark, harrowing, introspective",20th,1970s,,mistral-large-latest
9745283,Cambridge,United States,mixed,"exciting, mysterious",21st,contemporary,,mistral-large-latest
24786519,,Brazil,mixed,"joyful, nostalgic",20th,,,mistral-large-latest
25580389,,United States,real,"melancholic, introspective",20th,modern,,mistral-large-latest
19303223,,"Baltic region, Germany, Poland, Lithuania, Russia, Central Europe",real,"intense, gripping","12th, 13th, 14th",Medieval,"Crusades, Northern Crusades, Battle on Lake Peipus (1242), Battle of Tannenberg",mistral-large-latest
16256838,,,real,"hopeful, warm",,,,mistral-large-latest
13720780,,,real,"hopeful, encouraging",,,,mistral-large-latest
6100816,,,real,"engaging, curious",,,,mistral-large-latest
2196540,,United Kingdom,real,neutral,,,,mistral-large-latest
13333132,,,fictional,"tense, hopeful",20th,Cold War,post-WWII political tensions,mistral-large-latest
4829074,,,real,"hopeful, lighthearted",,,,mistral-large-latest
7322834,,,real,"playful, uplifting",,,,mistral-large-latest
24347276,,,real,"inspiring, comforting, contemplative",,,,mistral-large-latest
25073522,,,real,"reflective, uplifting",,,,mistral-large-latest
25073520,,,real,"hopeful, reflective",,,,mistral-large-latest
28821541,Cairo,Egypt,real,"tense, melancholic",20th,Cold War,Nasser's regime,mistral-large-latest
31376615,New York City,United States,real,"reflective, introspective",20th,1960s,,mistral-large-latest
31376617,River City,United States,real,"tense, curious",,contemporary,,mistral-large-latest
31376616,,,real,"melancholic, hopeful",,,,mistral-large-latest
20920085,,United States,real,"solemn, contemplative",20th-21st,modern,industrialization and environmental degradation,mistral-large-latest
25978750,Paris,France,real,"hopeful, playful",,,,mistral-large-latest
23716,,Japan,real,"tense, eerie",,,,mistral-large-latest
23714,,Japan,real,"uplifting, lighthearted",21st,contemporary,,mistral-large-latest
23713,,Japan,real,"tense, hopeful",,contemporary,,mistral-large-latest
23711,,,real,"playful, chaotic",,,,mistral-large-latest
20776154,,,real,,,,,mistral-large-latest
17014553,,,real,"curious, wonder",,,,mistral-large-latest
25368055,Dhamsawaat,,fictional,"tense, mysterious",,fantasy-inspired,power struggle between Khalif and the Falcon Prince,mistral-large-latest
16055422,Istanbul,Turkey,real,"nostalgic, contemplative",20th,,post-war,mistral-large-latest
413736,,United States,real,"hopeful, nostalgic",20th,mid-20th century,,mistral-large-latest
24874446,Waterloo,Belgium,real,"tense, intense",19th,Napoleonic Wars,Battle of Waterloo,mistral-large-latest
24874449,,Italy,real,"terrifying, haunting",13th-14th,Medieval,,mistral-large-latest
413739,,,fictional,"exciting, dynamic",,,,mistral-large-latest
18072588,,Japan,mixed,"uneasy, suspenseful",,contemporary,,mistral-large-latest
12147575,,,real,,,,,mistral-large-latest
12425125,Philadelphia,United States,mixed,"tense, suspenseful",,,,mistral-large-latest
31917806,,"United Kingdom, United States",mixed,"enthralling, reflective",,,,mistral-large-latest
1105542,,,fictional,"suspenseful, melancholic",,future,,mistral-large-latest
1105541,,,real,"engaging, nostalgic",20th-21st,post-WWII to 2005,"Vietnam War, rock 'n' roll cultural movement",mistral-large-latest
10805327,,,real,"whimsical, thought-provoking",,,,mistral-large-latest
13588165,,,real,"helpful, encouraging",,,,mistral-large-latest
13588166,Los Angeles,United States,real,"nostalgic, glamorous",20th,Golden Age of Hollywood,Studio-system era,mistral-large-latest
13588167,,North Pole,fictional,"joyful, warm",,contemporary,,mistral-large-latest
13588160,,,fictional,"joyful, imaginative",,,,mistral-large-latest
13588161,Elbow,United States,real,"emotional, tense",,contemporary,,mistral-large-latest
13588162,,,real,"peaceful, hopeful",,modern,,mistral-large-latest
2213112,London,United Kingdom,real,"intriguing, tense",19th,Regency,post-war (likely Napoleonic Wars),mistral-large-latest
25526848,,,real,"tense, haunting",,,,mistral-large-latest
18799744,Honolulu,United States,real,"suspenseful, dramatic",20th,World War II,Attack on Pearl Harbor,mistral-large-latest
13588169,Hollywood,United States,real,"intoxicating, emotionally charged",,contemporary,,mistral-large-latest
8740087,Dresden,Germany,real,"tense, hopeful",20th,Post-World War II,World War II aftermath,mistral-large-latest
8740084,,,real,"tense, heartwarming",,contemporary,,mistral-large-latest
28967258,Manhattan,United States,real,"tense, romantic",21st,contemporary,,mistral-large-latest
17968691,,,real,"tense, engaging",,contemporary,,mistral-large-latest
20708294,,,real,"encouraging, reflective",,,,mistral-large-latest
17669440,,United States,real,"uneasy, foreboding",19th,Victorian,,mistral-large-latest
15727228,Florida,United States,real,"suspenseful, dramatic",19th,mid-1800s,,mistral-large-latest
17968699,,,real,"empowering, motivational",,,,mistral-large-latest
16107050,,,mixed,"tense, uncertain, foreboding",,,,mistral-large-latest
32869273,,,real,"tense, contemplative",20th,mid-20th century,jazz era,mistral-large-latest
18710779,,,fictional,"magical, mysterious",,folklore,,mistral-large-latest
23474602,Chincoteague Island,United States,real,"tense, humorous",,contemporary,,mistral-large-latest
8509086,,,fictional,"wonder, melancholic",,,,mistral-large-latest
18909699,,,real,"tense, emotional",,,,mistral-large-latest
10193045,,United Kingdom,real,"raw, engaging, revealing",20th,late 20th century,amateur to professional transition in rugby,mistral-large-latest
22595822,,United States,mixed,"desperate, urgent",,post-apocalyptic,,mistral-large-latest
30520743,,China,real,"ominous, dramatic",,ancient,warfare and succession disputes,mistral-large-latest
6458570,,,mixed,"tense, melancholic",,futuristic,space colonization,mistral-large-latest
30520746,,,fictional,"romantic, tense",,,,mistral-large-latest
31856020,,United States,real,"tense, reflective",21st,contemporary,,mistral-large-latest
20810024,,China,real,"tense, mysterious",,,,mistral-large-latest
25936779,Geneve,Switzerland,real,"suspenseful, curious",20th,mid-20th century,,mistral-large-latest
6347217,,,mixed,"darkly humorous, provocative, surreal",,near-future,,mistral-large-latest
34030594,,Latvia,real,"hopeful, energetic",,,,mistral-large-latest
6458579,,,real,"erotic, sensual",,,,mistral-large-latest
31833958,,,real,motivational,,,,mistral-large-latest
3012560,San Antonio,United States,real,"reflective, tense",19th,Early Republic,Texas Revolution,mistral-large-latest
34572655,,,real,"tense, nostalgic, bittersweet",,,,mistral-large-latest
6024294,,United States,real,"searing, intense, contemplative",21st,contemporary,,mistral-large-latest
2600109,,Europe,real,"tense, curious",19th,Restauration era,"post-Napoleonic Europe, rise of secret societies",mistral-large-latest
25177451,Port Beaufort,United States,real,"tense, intriguing",18th,colonial,pre-American Revolution,mistral-large-latest
25177453,,,real,"thought-provoking, reverent","16th, 17th, 18th, 19th, 20th",Renaissance to Modern,"Scientific Revolution, Papal Inquisition, Industrial Revolution",mistral-large-latest
6328179,Tokyo,Japan,mixed,"dreamlike, tense, introspective",,,,mistral-large-latest
1930388,,France,real,"tense, gritty",11th,Medieval,First Crusade,mistral-large-latest
25177457,,,fictional,"hopeful, dreamy",,,,mistral-large-latest
23824682,,Vietnam,real,"tense, hopeful",20th,post-Vietnam War,Vietnam War,mistral-large-latest
23479180,,,mixed,"tense, foreboding",,contemporary with supernatural elements,,mistral-large-latest
18319702,,United States,real,"hopeful, nostalgic",,,,mistral-large-latest
6936251,,,real,"romantic, tense",,,,mistral-large-latest
6622044,,,real,"dramatic, melancholic",,,,mistral-large-latest
9752790,,,fictional,"hopeful, desperate",,post-apocalyptic,post-Detonations,mistral-large-latest
26722953,,,real,"reflective, hopeful",,,,mistral-large-latest
27189418,London,United Kingdom,mixed,"tense, melancholic, suspenseful",,contemporary,,mistral-large-latest
7672457,,Israel,real,"suspenseful, desperate",21st,contemporary,,mistral-large-latest
35017565,New York City,United States,real,"chaotic, absurd",21st,contemporary,,mistral-large-latest
6271335,,Australia,real,"inspirational, warm",,,,mistral-large-latest
6271337,,Penraven,fictional,"tense, foreboding",,fantasy medieval,,mistral-large-latest
34321859,Heaven,United States,real,"tense, romantic",21st,contemporary,,mistral-large-latest
368965,West Hollywood,United States,real,"reflective, hopeful, intense",20th,mid-to-late 20th century,"Vietnam War, Cold War, Cambodian genocide, Bosnian War, Rwandan genocide",mistral-large-latest
6092711,Florence,Italy,real,"melancholic, hopeful",20th,Edwardian,,mistral-large-latest
19534694,Genoa,Italy,real,"introspective, challenging",19th,Victorian era,,mistral-large-latest
17227001,,Germany,real,"nostalgic, hopeful",,,,mistral-large-latest
2260201,,Ireland,real,"epic, heroic",8th,medieval,,mistral-large-latest
18908981,,,real,"suspenseful, passionate",,,,mistral-large-latest
8699990,,,real,"suspenseful, passionate",,,,mistral-large-latest
27797271,,,fictional,"intense, steamy",,,,mistral-large-latest
8699995,,,fictional,"tense, mysterious",,futuristic,,mistral-large-latest
34105872,,,real,"melancholic, tense",,,,mistral-large-latest
6021116,New York City,United States,real,"engaging, introspective",21st,contemporary,,mistral-large-latest
9667270,,Greece,real,"dark, oppressive",21st,contemporary,,mistral-large-latest
18307760,central New York,United States,real,"tense, melancholic",21st,near-future,,mistral-large-latest
18307761,London,United Kingdom,real,"melancholic, wondering",,,,mistral-large-latest
13274597,,,real,"playful, heartwarming",,,,mistral-large-latest
9667275,,,real,"intriguing, challenging",,,,mistral-large-latest
18307764,,,fictional,"playful, tense",,steampunk,,mistral-large-latest
9667277,Milan,Italy,real,"suspenseful, dark",20th,post-WWII,Cold War,mistral-large-latest
9667279,,Mexico,real,"hopeful, melancholic",,,,mistral-large-latest
13226075,,,real,,,,,mistral-large-latest
29968134,,,mixed,"tense, dramatic",,,,mistral-large-latest
29968132,,,real,"tense, emotional",,,,mistral-large-latest
10780523,,England,mixed,"tense, mysterious",,,,mistral-large-latest
13077772,,,real,"introspective, challenging",,,,mistral-large-latest
13077773,,,real,thought-provoking,,,,mistral-large-latest
20543192,,,real,"urgent, contemplative",,,,mistral-large-latest
27427182,,,fictional,"oppressive, desperate, eerie",,,,mistral-large-latest
12082098,,,real,"tense, angry",,contemporary,,mistral-large-latest
23266455,,,mixed,"steamy, exciting, whimsical",,,,mistral-large-latest
23266456,,,real,"motivational, calm",,,,mistral-large-latest
29936393,Pecan,United States,real,"hopeful, nostalgic",21st,contemporary,,mistral-large-latest
23266453,,China,real,"thought-provoking, serene",20th,pre-Communist Revolution,Chinese Revolution of 1949,mistral-large-latest
25331330,Mermaid Point,United States,real,"suspenseful, melancholic",21st,contemporary,,mistral-large-latest
22798607,,,real,"reflective, earnest",,,,mistral-large-latest
20319064,,,real,"provocative, intense",,,,mistral-large-latest
23494368,,Scotland,real,"tense, passionate",17th,Early Modern,"Scottish history, early 1600s",mistral-large-latest
12082095,,,real,"tense, uncertain",,,,mistral-large-latest
7020507,,United Kingdom,real,"tense, hopeful",19th,Victorian,,mistral-large-latest
17336771,,Britain,real,"suspenseful, gritty",2nd century,Roman Empire,"Hadrian's reign, Roman occupation of Britain",mistral-large-latest
20262159,,Norway,real,"contemplative, haunting",,,,mistral-large-latest
21359100,,United States,mixed,"tense, suspenseful, angry",21st,present day,,mistral-large-latest
7031799,,,real,"dark, unsettling",,,,mistral-large-latest
923477,,,real,"hopeful, solemn",,,,mistral-large-latest
1242000,London,United Kingdom,real,"tense, melancholic",20th,contemporary,The Troubles in Northern Ireland,mistral-large-latest
28645251,,,real,"tense, melancholic, hopeful",,,,mistral-large-latest
2161797,,,real,"curious, excited",,,,mistral-large-latest
2161796,,,real,"exciting, engaging",,,,mistral-large-latest
923471,,,real,,,,,mistral-large-latest
2161794,,Socotra,real,"tense, urgent",,,,mistral-large-latest
22585612,,,real,"hopeful, tense",,,,mistral-large-latest
20420205,Madrid,Spain,real,"tense, melancholic",16th,Renaissance,Reign of Philip II of Spain,mistral-large-latest
950279,,United States,real,"reflective, uplifting",20th,contemporary,,mistral-large-latest
19218020,Listcairn,,fictional,"foreboding, intense",,fantasy medieval,,mistral-large-latest
25080643,,United States,real,"tense, suspenseful",21st,contemporary,,mistral-large-latest
28799251,,,real,"tense, hopeful",,contemporary,,mistral-large-latest
12815205,,Netherlands,real,"introspective, determined",20th,Cold War,Communist coup d'etat in Czechoslovakia,mistral-large-latest
23705924,,"France, Belgium, Germany, United States",real,"tense, melancholic, urgent",20th,World War I,"World War One, final months (1918)",mistral-large-latest
9798488,Cambridge,United Kingdom,real,"tense, contemplative",20th,mid-20th century,,mistral-large-latest
1807938,,Japan,real,"hopeful, serene",,,,mistral-large-latest
1719407,London,United Kingdom,real,"suspenseful, intense",21st,contemporary,,mistral-large-latest
24927922,,Italy,real,"contemplative, nostalgic",,,,mistral-large-latest
19005155,,,real,"cozy, cheerful",,,,mistral-large-latest
9469899,,,real,"tense, ominous",,,,mistral-large-latest
18525895,,France/Italy/United States,real,"hopeful, nostalgic",,contemporary,,mistral-large-latest
20594950,,,mixed,"tense, melancholic",,,,mistral-large-latest
25150020,,,real,"reflective, lighthearted",,,,mistral-large-latest
22090474,Paris,France,real,"intriguing, tense",18th,Enlightenment,"Reign of Louis XV, attempted assassination of Louis XV by Damiens",mistral-large-latest
26259980,,,fictional,"enchanting, mysterious",,,,mistral-large-latest
345756,,,real,"hopeful, reflective",,,,mistral-large-latest
202522,,,real,"erotic, reflective",20th,late 20th century,second-wave feminism,mistral-large-latest
22090470,Paris,France,real,"ominous, urgent",20th,Interwar period,World War I aftermath,mistral-large-latest
33091539,,France,real,"concerned, nostalgic",,contemporary,decline of Latin education in France,mistral-large-latest
345752,,Switzerland,real,contemplative,16th,Renaissance,,mistral-large-latest
5292831,various cities in Florida,United States,real,"somber, hopeful at times, tense",20th,"1950s-1960s (upbringing), contemporary (narrative)","post-World War II America, drug policy evolution",mistral-large-latest
24509645,,,real,"somber, reflective",,,,mistral-large-latest
12757314,,,real,"reflective, somber",,,,mistral-large-latest
18908987,,France,real,"tense, emotional",,,,mistral-large-latest
29762615,Manhattan,United States,real,"sensual, oppressive",,,,mistral-large-latest
138496,New York,United States,real,"suspenseful, tense",20th,mid-to-late 20th century,,mistral-large-latest
9439768,,,real,"arousing, titillating",,,,mistral-large-latest
10822326,,,real,"thought-provoking, sobering",,modern,rise and fall of great powers from 1500 to present,mistral-large-latest
22677829,Parijs,Frankrijk,real,"weemoedig, reflectief, spannend",,hedendaags,,mistral-large-latest
18528198,,,real,"somber, urgent",20th,World War II,Nazi Germany and propaganda under Joseph Goebbels,mistral-large-latest
1038901,,,real,"playful, whimsical",,,,mistral-large-latest
18528195,,United States,real,"melancholic, reflective",20th,early 1900s,"coal-mining industry, 1913",mistral-large-latest
18528196,New York,United States,real,"reflective, tense",20th-21st,"1980s, 2000s",,mistral-large-latest
22677821,,United States,real,"tense, disturbing, hopeful",21st,contemporary,,mistral-large-latest
18528190,,,real,"provocative, thought-provoking",,contemporary,,mistral-large-latest
